condition_id,category,prob,final_outcome,n_fills,source
0xc6e477472d3475c7a161371dbc2cbf81458167502f3168fa9eaa5e1c33438f51,onchain_unknown,0.4516,0,1,goldsky
0x00b5fd7e8e468a56aace90642472951c10788180ac8dbe8b4aa412452ad693f4,onchain_unknown,0.15,1,18,goldsky
0x7e25406f6865e2e8c2df83680084c06bb1287f6c5ed1611b91f33bce1e39932c,onchain_unknown,0.969,1,6,goldsky
0x4bab360a81b57047b48c0dd7c6c1377706129e3e6b9fa3f079cc28d310ec4cec,onchain_unknown,0.76,0,1,goldsky
0xf1f1c23a4b483d65e4eee6b1ceebff72bc11db6933428dd91b6492dd7a44e295,onchain_unknown,0.01,0,1,goldsky
0xd0eea735d6d85ec2149a61c0c9903bcb2d50a43b2cd9ec011a91cbc19c318050,onchain_unknown,0.999,1,3,goldsky
0x9161813effe6f3eaac52aecdb28416f3e7c90b8c60cd41917dcfcd757c3a727d,onchain_unknown,0.7424,1,2,goldsky
0x037723f11f764d1503d455671acf1ed4210f858e198ac187549e3123b19197ba,onchain_unknown,0.26,0,83,goldsky
0xb8e87d66801273891255a1c0971753330148cf8f1e3234706c272226854aff84,onchain_unknown,0.0015,0,2,goldsky
0xe5099d850a03a881b037f2e7afc4d15e8cf2d2eb90329dd20299ff745ba2a7f7,onchain_unknown,0.28,0,9,goldsky
0x6d6fd5d251ce4cf80ec381a0fb7fcccefff4859ba7be92eddb1f7e6b1ef48595,onchain_unknown,0.618,1,6,goldsky
0xa396b4bf3a41b19d14a2e3206f78dce78132e26c5626a74e5da529820f3159e4,onchain_unknown,0.01,0,1,goldsky
0x4163a84aab21a74150ddaad5bdff6de52d67d04817777e8b843f964913fb178a,onchain_unknown,0.001,0,1,goldsky
0x8c4e6f6fc561e39f34ebed3f0af8d673653d220a1821c2a616c90fb5ae15b02b,onchain_unknown,0.55,0,11,goldsky
0x5eb9c692aa73bf64752cf94085827173d63a9bb8f9e8c634245d30bb413eddcb,onchain_unknown,0.12,0,1,goldsky
0x62b5209029f8bb64080aef432cd7d2ea25fd0155142c3b5c7b2ef940fde14fbe,onchain_unknown,0.58,1,5,goldsky
0x0a031d42240364d9d11073997e3f86f04ac36d90b58ed254a5a6ea645606a40d,onchain_unknown,0.44,0,119,goldsky
0x9647b0f18083245933f2d2ca09acbe7ce89ee60ba83ed01e984df4bc7888a214,onchain_unknown,0.2,0,27,goldsky
0xbe09c7643cd69c981c03eb21b7c0e92062d8759c86d0458d5bf59de9d7111ca0,onchain_unknown,0.89,1,20,goldsky
0xacac7df6b50a2343f2e86f2a9298e001da54ef8a587f8759b9fc407d0ef549ef,onchain_unknown,0.999,1,2,goldsky
0xd1b7e9722d51e6848e4a4637febfc6087358dfc94fc355b256a6d66d93aff14f,onchain_unknown,0.5,0,1,goldsky
0x5237ebd84b4c12838024a23fa2323047e82ca259180f4ab7f315da9d115b6071,onchain_unknown,0.32,0,4,goldsky
0xcfbd4e44939028fb0d3106823283584db8b8340b252ce57953192055c3dc7567,onchain_unknown,0.98,1,9,goldsky
0xaeea5f917fc5746387b5f9c0a4263dba035dbb3f0ac6ad72bf92183d21e26739,onchain_unknown,0.275,1,2,goldsky
0xce732ec6a743c3a4f4bed645b1aad019587664d6f7aadaa58980aec540ac79bb,onchain_unknown,0.37,0,18,goldsky
0xabef6d91adc036f3c2e0fa52f72dd0654ee8fba07974e06ec762a27c37b58e9f,onchain_unknown,0.15,0,5,goldsky
0x5eb2ed99d47ebc33c4b2df67dd5275961a97dc7c48817a69707447e257c5ab3b,onchain_unknown,0.999,1,2,goldsky
0x8881b4beff87289cddba79a8af13773c768e9dc567888bc5930cfa4a2768a5c4,onchain_unknown,0.47,0,7,goldsky
0x28b76011f765f820df6798d4c65a9add3cbfa4a86ebad256a54c1d0b87cfd44b,onchain_unknown,0.26,1,8,goldsky
